Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 7965" "01 42 20.528" "+68 02 34.88" 0.191 0.013 0.230922 0.006511 0.83206 -3.0708978 Simbad
"HIP 7988" "01 42 36.750" "+48 24 59.18" 0.078 0.005 0.090915 0.002606 0.90296 -2.5829525 Simbad
"HIP 8332" "01 47 27.153" "+43 04 49.46" 0.076 0.005 0.088201 0.002811 0.59469 -2.4402320 Simbad
"HIP 8445" "01 48 51.884" "-50 28 59.90" 0.078 0.005 0.089340 0.002607 0.48664 -2.2679420 Simbad
"HIP 8485" "01 49 22.656" "-72 24 42.74" 0.061 0.004 0.073704 0.002250 0.77794 -3.1761050 Simbad
"HIP 8497" "01 49 35.104" "-10 41 11.08" 0.663 0.046 0.761835 0.053394 1.25229 -2.1485932 Simbad
"HIP 8551" "01 50 18.427" "+48 30 56.49" 0.059 0.004 0.071192 0.002099 0.40947 -3.0479280 Simbad
"HIP 8628" "01 51 17.785" "+38 50 08.21" 0.065 0.004 0.082258 0.002592 0.53494 -4.3146143 Simbad
"HIP 8643" "01 51 26.618" "+54 55 28.86" 0.091 0.006 0.115172 0.003384 1.29554 -4.0286965 Simbad
"HIP 8771" "01 52 50.725" "+51 28 29.41" 0.176 0.012 0.209719 0.005954 0.52258 -2.8098810 Simbad
"HIP 9022" "01 56 09.408" "-49 50 11.20" 0.131 0.009 0.149201 0.004284 0.16370 -2.0223260 Simbad
"HIP 9166" "01 58 01.154" "+28 31 11.78" 0.099 0.007 0.118613 0.003280 0.81630 -2.8018546 Simbad
"HIP 9508" "02 02 20.010" "+46 50 33.02" 0.092 0.006 0.109752 0.003218 0.68775 -2.9587312 Simbad
"HIP 9598" "02 03 26.104" "+72 25 16.66" 0.473 0.033 0.558036 0.046508 0.04377 -2.5768335 Simbad
"HIP 9677" "02 04 29.438" "-29 17 48.55" 0.239 0.016 0.291672 0.028719 0.06701 -3.2919905 Simbad
"HIP 9690" "02 04 39.933" "+65 06 12.61" 0.135 0.009 0.155743 0.004222 0.98885 -2.3047512 Simbad
"HIP 9937" "02 07 56.894" "+43 09 32.29" 0.050 0.003 0.063201 0.001736 0.39673 -4.4002495 Simbad
"HIP 10006" "02 08 52.938" "+39 20 55.27" 0.099 0.007 0.113997 0.003071 1.38095 -2.1424644 Simbad
"HIP 10176" "02 10 52.827" "+39 02 22.37" 0.144 0.010 0.174640 0.005005 0.76638 -3.0640082 Simbad
"HIP 10222" "02 11 26.364" "+37 21 07.90" 0.058 0.004 0.070117 0.001936 1.16111 -3.0292103 Simbad
"HIP 10456" "02 14 46.355" "+46 41 14.98" 0.103 0.007 0.124802 0.003480 0.95176 -3.1145277 Simbad
"HIP 10560" "02 15 56.557" "+79 10 44.99" 0.121 0.008 0.140533 0.004251 0.38672 -2.4416566 Simbad
"HIP 10653" "02 17 07.469" "+58 38 54.99" 0.108 0.007 0.126567 0.002978 1.43870 -2.6524758 Simbad
"HIP 10670" "02 17 18.868" "+33 50 49.90" 0.476 0.033 0.557011 0.050968 0.15730 -2.4548643 Simbad
"HIP 10799" "02 18 58.826" "-70 40 39.42" 0.053 0.004 0.062305 0.001696 0.74749 -2.3261540 Simbad
