Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 54505" "11 09 05.224" "-20 30 48.79" 0.078 0.005 0.088380 0.002522 0.85502 -2.0760490 Simbad
"HIP 54542" "11 09 41.020" "-54 42 53.31" 0.088 0.006 0.104765 0.003072 0.34871 -2.7941241 Simbad
"HIP 54630" "11 10 54.794" "-58 27 18.91" 0.089 0.006 0.108476 0.003182 0.25500 -3.2460043 Simbad
"HIP 54767" "11 12 45.207" "-64 10 11.17" 0.209 0.014 0.240379 0.007337 0.00907 -2.2413921 Simbad
"HIP 54946" "11 15 06.321" "-58 15 32.95" 0.069 0.005 0.084521 0.002514 0.51964 -3.1042368 Simbad
"HIP 55019" "11 15 53.681" "-47 55 15.09" 0.133 0.009 0.159064 0.004414 0.65653 -2.8959696 Simbad
"HIP 55125" "11 17 09.937" "-43 49 07.37" 0.087 0.006 0.100510 0.002934 0.19943 -2.2517195 Simbad
"HIP 55175" "11 17 47.808" "-59 12 27.90" 0.091 0.006 0.112081 0.003170 0.64672 -3.5135472 Simbad
"HIP 55249" "11 18 54.959" "+01 39 01.42" 1.034 0.071 0.888818 0.093693 0.04702 2.0448236 Simbad
"HIP 55308" "11 19 36.526" "-75 08 32.82" 0.145 0.010 0.174670 0.005086 0.27884 -2.9669852 Simbad
"HIP 55332" "11 19 50.752" "-72 57 29.85" 0.147 0.010 0.168032 0.004937 0.30175 -2.1032170 Simbad
"HIP 55480" "11 21 45.967" "-22 06 18.90" 0.077 0.005 0.094159 0.002874 0.68007 -3.4317690 Simbad
"HIP 55526" "11 22 21.482" "-39 06 17.81" 0.095 0.007 0.110337 0.003521 0.10445 -2.1910667 Simbad
"HIP 55611" "11 23 35.347" "-53 11 11.55" 0.044 0.003 0.050590 0.001392 0.35672 -2.1965604 Simbad
"HIP 55657" "11 24 11.127" "-72 15 23.78" 0.231 0.016 0.189074 0.006823 0.72277 2.6203970 Simbad
"TYC 8972-1933-1" "11 25 48.406" "-60 52 55.11" 0.018 0.001 0.020357 0.000607 0.81786 -2.3567433 Simbad
"HIP 55830" "11 26 34.023" "-21 21 23.40" 0.116 0.008 0.133596 0.003816 0.49483 -2.1994412 Simbad
"HIP 55999" "11 28 34.404" "-58 08 31.20" 0.094 0.007 0.114403 0.003253 0.75089 -2.9146788 Simbad
"HIP 56071" "11 29 33.850" "-53 37 31.77" 0.077 0.005 0.088794 0.002551 0.64617 -2.3587153 Simbad
"HIP 56147" "11 30 29.838" "+48 56 08.56" 0.083 0.006 0.099805 0.002731 1.27430 -2.8008260 Simbad
"HIP 56368" "11 33 18.461" "-51 21 53.34" 0.062 0.004 0.071032 0.002047 0.78618 -2.2578983 Simbad
"HIP 56754" "11 38 07.295" "-61 49 35.60" 0.271 0.019 0.324852 0.011285 0.18701 -2.8343310 Simbad
"HIP 56944" "11 40 27.429" "+57 58 13.46" 0.117 0.008 0.147340 0.004008 1.48493 -3.7924570 Simbad
"HIP 57097" "11 42 16.798" "-57 33 54.37" 0.105 0.007 0.120815 0.003771 0.17890 -2.2592820 Simbad
"HIP 57423" "11 46 22.128" "-34 45 12.77" 0.075 0.005 0.090033 0.002519 0.59691 -3.0066164 Simbad
"TYC 8635-1537-1" "11 49 35.873" "-56 12 48.13" 0.020 0.001 0.022331 0.000647 0.25587 -2.3314877 Simbad
"HIP 57809" "11 51 13.137" "-43 55 59.00" 0.123 0.009 0.149083 0.004137 0.57291 -2.8981278 Simbad
"HIP 58259" "11 56 53.236" "+61 32 57.17" 0.773 0.053 0.655969 0.056595 0.80842 2.2081373 Simbad
"HIP 58272" "11 57 03.746" "-33 18 55.66" 0.147 0.010 0.173966 0.005069 0.70018 -2.6965873 Simbad
"HIP 58402" "11 58 30.063" "-70 44 23.97" 0.120 0.008 0.095586 0.003534 0.35082 3.0517027 Simbad
"HIP 58452" "11 59 10.681" "-45 49 56.00" 0.118 0.008 0.150925 0.004372 0.77061 -4.1156187 Simbad
"HIP 58642" "12 01 29.193" "-57 30 13.60" 0.159 0.011 0.184016 0.005003 0.47734 -2.2741435 Simbad
"HIP 58674" "12 01 50.826" "-73 17 54.73" 0.130 0.009 0.149549 0.004120 0.58256 -2.1720562 Simbad
"HIP 58720" "12 02 37.692" "-69 11 32.24" 0.153 0.011 0.186242 0.005226 0.68690 -3.0219990 Simbad
"HIP 58859" "12 04 16.705" "-51 28 21.06" 0.125 0.009 0.151824 0.004845 0.17205 -2.9804096 Simbad
"HIP 59008" "12 05 56.667" "-35 41 38.15" 0.138 0.010 0.159719 0.004875 0.11260 -2.1718980 Simbad
"TYC 8241-3236-1" "12 08 04.866" "-50 45 49.12" 0.133 0.009 0.156377 0.004703 0.09043 -2.5974364 Simbad
"HIP 60148" "12 20 04.593" "-47 47 55.75" 0.050 0.003 0.058174 0.001745 0.51864 -2.7246735 Simbad
"HIP 60183" "12 20 28.224" "-65 50 33.55" 0.150 0.010 0.171211 0.004950 0.23727 -2.1211147 Simbad
"HIP 60313" "12 22 02.074" "+16 44 41.03" 0.143 0.010 0.164604 0.004662 1.20459 -2.1603675 Simbad
"HIP 60379" "12 22 49.431" "-57 40 34.08" 0.182 0.013 0.211987 0.006039 0.37814 -2.3066585 Simbad
"HIP 60449" "12 23 35.420" "-35 24 45.64" 0.214 0.015 0.245807 0.006764 0.19567 -2.1204402 Simbad
"HIP 60463" "12 23 44.743" "-38 54 40.98" 0.160 0.011 0.191561 0.005476 0.27555 -2.8691711 Simbad
"HIP 60517" "12 24 21.397" "-47 22 22.57" 0.118 0.008 0.141455 0.004090 0.29251 -2.9318330 Simbad
"HIP 60561" "12 24 51.919" "-72 36 14.03" 0.132 0.009 0.151095 0.004396 0.61850 -2.1217103 Simbad
"HIP 60610" "12 25 21.735" "-35 11 11.10" 0.173 0.012 0.207428 0.005820 0.30500 -2.8690224 Simbad
"HIP 60730" "12 26 49.343" "-44 29 13.07" 0.053 0.004 0.065329 0.001910 0.51134 -3.0821924 Simbad
"HIP 60819" "12 27 57.017" "-36 42 25.81" 0.084 0.006 0.096858 0.002650 0.75165 -2.1429708 Simbad
"HIP 60832" "12 28 04.801" "+44 47 30.51" 0.225 0.015 0.255359 0.005675 10.87870 -2.0239472 Simbad
"HIP 60855" "12 28 22.466" "-39 02 28.22" 0.204 0.014 0.233998 0.006633 0.31622 -2.1427305 Simbad
"HIP 60904" "12 28 54.704" "+25 54 46.27" 0.247 0.017 0.281649 0.008045 1.13183 -2.0381887 Simbad
"HIP 61257" "12 33 12.188" "-52 04 58.23" 0.121 0.008 0.149772 0.004195 0.80337 -3.5965357 Simbad
"HIP 61471" "12 35 47.330" "+39 41 01.30" 0.095 0.007 0.109775 0.003014 1.22021 -2.1107154 Simbad
"HIP 61537" "12 36 26.190" "-67 10 15.62" 0.093 0.006 0.107903 0.003092 0.59381 -2.4838521 Simbad
"HIP 61648" "12 38 17.214" "+72 07 34.74" 0.058 0.004 0.068706 0.001900 1.08452 -2.6764143 Simbad
"HIP 61737" "12 39 14.466" "-69 32 31.20" 0.059 0.004 0.069016 0.002074 0.62865 -2.5040338 Simbad
"HIP 61884" "12 40 51.456" "-27 42 47.65" 0.082 0.006 0.094269 0.002807 0.58424 -2.0447710 Simbad
"HIP 62058" "12 43 09.180" "-56 10 34.41" 0.147 0.010 0.169878 0.004955 0.32933 -2.2878335 Simbad
"HIP 62128" "12 43 58.669" "-36 20 56.95" 0.129 0.009 0.152982 0.004683 0.27625 -2.6646671 Simbad
"HIP 62248" "12 45 26.168" "+14 22 24.95" 0.076 0.005 0.100487 0.002732 1.74280 -4.8973265 Simbad
"HIP 62483" "12 48 16.470" "-44 43 07.58" 0.116 0.008 0.132991 0.003845 0.38419 -2.1238978 Simbad
"HIP 62786" "12 51 56.930" "-39 40 49.55" 0.135 0.009 0.165129 0.004816 0.30233 -3.3476884 Simbad
"HIP 62799" "12 52 05.432" "-48 05 39.43" 0.158 0.011 0.181124 0.005490 0.24911 -2.1021826 Simbad
"HIP 63073" "12 55 25.761" "-73 58 07.21" 0.076 0.005 0.087873 0.002518 0.48084 -2.3745074 Simbad
"HIP 63350" "12 58 52.727" "-39 06 20.34" 0.119 0.008 0.136754 0.003942 0.71882 -2.2191906 Simbad
"HIP 63417" "12 59 42.944" "-79 56 48.13" 0.074 0.005 0.084833 0.002364 0.61000 -2.1665008 Simbad
"HIP 63541" "13 01 15.109" "-44 45 06.72" 0.058 0.004 0.068028 0.002062 0.21207 -2.5069080 Simbad
"HIP 63551" "13 01 20.219" "+38 02 53.58" 0.077 0.005 0.091936 0.002477 1.18716 -2.9872105 Simbad
"HIP 63839" "13 05 02.040" "-64 26 29.70" 0.132 0.009 0.150295 0.004332 0.55633 -2.0327983 Simbad
"HIP 63933" "13 06 10.249" "+29 01 45.22" 0.161 0.011 0.184835 0.005352 1.37650 -2.1668484 Simbad
"HIP 64108" "13 08 20.410" "-78 26 45.71" 0.141 0.010 0.165153 0.004566 0.43252 -2.4153173 Simbad
"HIP 64170" "13 09 05.843" "-49 29 41.88" 0.085 0.006 0.100585 0.002977 0.42710 -2.5974698 Simbad
"HIP 64892" "13 18 05.104" "-44 03 19.36" 0.115 0.008 0.133880 0.003830 0.47127 -2.3600523 Simbad
"HIP 64918" "13 18 23.005" "-43 36 26.98" 0.041 0.003 0.055535 0.001773 0.64486 -4.8449783 Simbad
"HIP 64925" "13 18 24.899" "-45 45 52.75" 0.114 0.008 0.134553 0.003915 0.51842 -2.5691788 Simbad
"HIP 64933" "13 18 34.868" "-51 17 08.79" 0.164 0.011 0.193391 0.005499 0.34287 -2.6718757 Simbad
"HIP 64951" "13 18 48.277" "-79 58 33.67" 0.138 0.010 0.163987 0.004463 0.73135 -2.5986762 Simbad
"HIP 65173" "13 21 22.832" "-39 59 23.85" 0.081 0.006 0.099428 0.002986 0.33666 -3.0713043 Simbad
"HIP 65178" "13 21 25.907" "-43 38 03.58" 0.123 0.008 0.141622 0.003888 0.26410 -2.3277428 Simbad
"HIP 65551" "13 26 16.685" "-48 47 11.71" 0.128 0.009 0.147385 0.004809 0.31727 -2.1538901 Simbad
"HIP 65628" "13 27 18.496" "-74 41 30.32" 0.109 0.008 0.139919 0.003842 1.32676 -3.8648636 Simbad
"HIP 65798" "13 29 16.064" "-45 32 15.97" 0.125 0.009 0.148264 0.004248 0.47224 -2.5848732 Simbad
"HIP 65896" "13 30 29.505" "-23 38 58.18" 0.073 0.005 0.084960 0.002334 0.48351 -2.3920700 Simbad
"HIP 65965" "13 31 30.969" "-46 44 06.85" 0.084 0.006 0.098666 0.002732 0.52532 -2.4443443 Simbad
"HIP 66068" "13 32 39.242" "-44 27 00.91" 0.111 0.008 0.128177 0.003522 0.57223 -2.1471362 Simbad
"HIP 66152" "13 33 35.871" "-65 37 57.67" 0.149 0.010 0.169988 0.005020 0.66525 -2.0987809 Simbad
"HIP 66454" "13 37 23.474" "-46 25 40.36" 0.140 0.010 0.172916 0.005119 0.27546 -3.2916205 Simbad
"HIP 66494" "13 37 52.064" "-42 30 52.40" 0.083 0.006 0.097701 0.002833 0.73105 -2.4501557 Simbad
"HIP 66951" "13 43 20.528" "+53 45 25.28" 0.044 0.003 0.050851 0.001407 0.56974 -2.2835321 Simbad
"HIP 67024" "13 44 08.778" "-43 26 28.56" 0.101 0.007 0.123052 0.003515 0.44590 -3.1502970 Simbad
"HIP 67129" "13 45 29.847" "+64 37 50.63" 0.078 0.005 0.088720 0.002669 0.70643 -2.1439226 Simbad
"HIP 67302" "13 47 34.197" "-71 13 52.10" 0.112 0.008 0.130049 0.003583 0.87139 -2.2561698 Simbad
"HIP 67523" "13 50 06.508" "-29 04 52.75" 0.160 0.011 0.182401 0.005187 0.29645 -2.0364456 Simbad
"HIP 67703" "13 52 04.862" "-52 48 41.52" 0.191 0.013 0.231799 0.006398 0.28709 -3.1384160 Simbad
"HIP 67787" "13 53 12.930" "+17 55 58.33" 0.841 0.058 0.707371 0.077804 0.02524 2.3039498 Simbad
"HIP 67973" "13 55 12.142" "-52 09 38.96" 0.170 0.012 0.204617 0.006030 0.34280 -2.8847294 Simbad
"HIP 67975" "13 55 13.429" "-47 05 32.10" 0.107 0.007 0.121292 0.003306 0.87566 -2.0416996 Simbad
"HIP 68269" "13 58 31.146" "-24 58 20.10" 0.214 0.015 0.247151 0.006844 0.18328 -2.2100897 Simbad
"HIP 68637" "14 02 59.759" "+50 58 18.51" 0.176 0.012 0.202350 0.005505 1.02392 -2.1958240 Simbad
"HIP 68853" "14 05 56.891" "-37 43 45.23" 0.076 0.005 0.091809 0.002828 0.31904 -3.1618476 Simbad
"HIP 68867" "14 06 08.236" "-44 41 20.72" 0.101 0.007 0.116725 0.003720 0.33621 -2.2464852 Simbad
"HIP 69011" "14 07 40.808" "-48 42 14.48" 0.139 0.010 0.161167 0.004610 0.29437 -2.2166624 Simbad
"HIP 69113" "14 08 51.886" "-43 28 14.81" 0.132 0.009 0.166465 0.005006 0.29946 -3.8294115 Simbad
"HIP 69122" "14 08 56.252" "-59 16 36.17" 0.172 0.012 0.141677 0.004785 0.40949 2.5268805 Simbad
"HIP 69389" "14 12 15.805" "+02 24 33.96" 0.214 0.015 0.301758 0.008487 0.14090 -5.8505010 Simbad
"HIP 69490" "14 13 39.378" "+24 46 41.67" 0.079 0.005 0.090398 0.002460 1.04402 -2.2796273 Simbad
"HIP 69845" "14 17 39.217" "-40 51 42.21" 0.075 0.005 0.085908 0.002461 0.14722 -2.1816000 Simbad
"HIP 70041" "14 19 54.862" "+67 46 56.98" 0.112 0.008 0.128501 0.003494 0.81825 -2.0626223 Simbad
"HIP 70069" "14 20 19.543" "-56 23 11.39" 0.525 0.036 0.407750 0.040144 0.19448 3.2569510 Simbad
"HIP 70090" "14 20 33.432" "-37 53 07.06" 0.428 0.030 0.492290 0.043214 0.05407 -2.1430056 Simbad
"HIP 70455" "14 24 43.922" "-40 45 18.59" 0.096 0.007 0.114420 0.003421 0.31839 -2.6314397 Simbad
"HIP 70503" "14 25 19.679" "-72 37 14.84" 0.080 0.006 0.092324 0.002852 0.28194 -2.0540082 Simbad
"HIP 70626" "14 26 49.874" "-39 52 26.36" 0.113 0.008 0.146177 0.004308 0.35824 -4.1470757 Simbad
"HIP 70690" "14 27 30.708" "-47 05 56.58" 0.071 0.005 0.089041 0.002750 0.36018 -3.6081092 Simbad
"HIP 70697" "14 27 33.595" "-46 12 48.66" 0.098 0.007 0.114653 0.003697 0.19532 -2.3790119 Simbad
"HIP 70915" "14 30 08.630" "-45 19 16.89" 0.183 0.013 0.217644 0.006751 0.05855 -2.6649282 Simbad
"HIP 71099" "14 32 22.133" "+33 11 37.60" 0.057 0.004 0.065485 0.001802 0.52792 -2.1211290 Simbad
"HIP 71146" "14 33 03.019" "+05 19 23.75" 0.590 0.041 0.507877 0.046440 0.62635 2.0029893 Simbad
"HIP 71271" "14 34 33.447" "-46 18 17.23" 0.083 0.006 0.099169 0.003022 0.34551 -2.6947856 Simbad
"HIP 71327" "14 35 10.707" "-46 27 43.07" 0.111 0.008 0.135045 0.003904 0.56656 -3.0056220 Simbad
"HIP 71353" "14 35 31.483" "-41 31 02.77" 0.155 0.011 0.177995 0.005425 0.19453 -2.0904229 Simbad
"HIP 71453" "14 36 44.134" "-40 12 41.70" 0.145 0.010 0.182260 0.005654 0.17986 -3.7259684 Simbad
"HIP 71724" "14 40 17.656" "-40 50 30.10" 0.111 0.008 0.132053 0.004483 0.27789 -2.6315951 Simbad
"HIP 72573" "14 50 20.427" "+82 30 43.00" 0.758 0.052 0.647356 0.060942 0.31861 2.1277769 Simbad
"HIP 73018" "14 55 22.478" "+32 58 26.96" 0.147 0.010 0.170910 0.004139 4.74706 -2.3910046 Simbad
"HIP 73043" "14 55 39.449" "-78 52 59.01" 0.105 0.007 0.119955 0.003471 0.24851 -2.1364167 Simbad
"HIP 73147" "14 56 55.757" "-42 27 40.64" 0.074 0.005 0.086096 0.002441 0.55511 -2.4192765 Simbad
"HIP 73231" "14 58 00.283" "-77 07 23.32" 0.077 0.005 0.089815 0.002523 0.32534 -2.5630057 Simbad
"HIP 73249" "14 58 13.412" "-11 09 17.14" 0.139 0.010 0.217997 0.005484 6.85987 -7.8996540 Simbad
"HIP 73250" "14 58 14.072" "-36 03 51.60" 0.063 0.004 0.076961 0.002414 0.08569 -3.4902244 Simbad
"HIP 73266" "14 58 24.265" "-37 21 44.91" 0.092 0.006 0.108123 0.003252 0.41857 -2.6871972 Simbad
"HIP 73341" "14 59 13.926" "-37 52 52.44" 0.108 0.007 0.131340 0.003701 0.41383 -3.3343400 Simbad
"HIP 73393" "14 59 54.637" "-46 14 52.56" 0.092 0.006 0.115473 0.003170 0.63302 -3.9121594 Simbad
"HIP 73394" "14 59 55.759" "-75 01 57.60" 0.146 0.010 0.175285 0.005166 0.60419 -2.9284910 Simbad
"HIP 73454" "15 00 38.718" "+47 16 38.78" 0.123 0.008 0.148082 0.004525 0.46080 -3.1352386 Simbad
"HIP 73620" "15 02 54.038" "+02 05 28.69" 2.074 0.143 1.751134 0.166654 0.07557 2.2578006 Simbad
"HIP 74032" "15 07 45.135" "+32 15 33.12" 0.063 0.004 0.076190 0.002121 1.19718 -3.2975187 Simbad
"HIP 74296" "15 11 08.819" "-84 47 16.13" 0.176 0.012 0.203907 0.005711 0.44372 -2.3255572 Simbad
"HIP 74376" "15 11 56.076" "-48 44 16.16" 0.436 0.030 0.514609 0.043898 0.07954 -2.6203156 Simbad
"HIP 74401" "15 12 20.951" "-16 24 39.86" 0.089 0.006 0.103522 0.003198 0.55464 -2.4203224 Simbad
"HIP 74421" "15 12 33.980" "-72 46 14.16" 0.178 0.012 0.202505 0.005789 0.34058 -2.0421233 Simbad
"HIP 74479" "15 13 07.663" "-36 05 29.14" 0.138 0.010 0.163746 0.005135 0.14801 -2.5745690 Simbad
"HIP 74657" "15 15 19.638" "-44 08 58.32" 0.095 0.007 0.125720 0.003602 0.67978 -4.3885920 Simbad
"HIP 74752" "15 16 37.150" "-42 22 12.57" 0.109 0.008 0.135535 0.003949 0.60526 -3.3168662 Simbad
"HIP 74785" "15 17 00.415" "-09 22 58.49" 0.645 0.045 0.780217 0.077356 0.04286 -3.0048237 Simbad
"HIP 75161" "15 21 34.283" "-44 56 17.52" 0.126 0.009 0.153077 0.004248 0.62507 -3.0085330 Simbad
"HIP 75178" "15 21 48.575" "+32 56 01.30" 0.217 0.015 0.247315 0.007288 0.42953 -2.0209730 Simbad
"HIP 75210" "15 22 11.255" "-37 38 08.26" 0.112 0.008 0.132216 0.004091 0.23097 -2.5270486 Simbad
"HIP 75247" "15 22 33.203" "-44 17 34.51" 0.139 0.010 0.160319 0.004639 0.09570 -2.1318913 Simbad
"HIP 75256" "15 22 37.258" "+62 02 49.48" 0.175 0.012 0.199133 0.005398 0.72282 -2.0111067 Simbad
"HIP 75467" "15 25 00.010" "-76 31 28.59" 0.099 0.007 0.115411 0.003401 0.36926 -2.3444316 Simbad
"HIP 75501" "15 25 20.217" "-38 44 01.05" 0.370 0.026 0.422188 0.037588 0.09645 -2.0072265 Simbad
"HIP 75657" "15 27 25.691" "+79 45 55.14" 0.048 0.003 0.054961 0.001496 0.77196 -2.3203404 Simbad
"HIP 75658" "15 27 26.970" "-66 07 17.18" 0.107 0.007 0.125046 0.003633 0.52234 -2.5780041 Simbad
"HIP 76073" "15 32 13.899" "-45 04 03.12" 0.119 0.008 0.138670 0.004237 0.41016 -2.4587102 Simbad
"HIP 76217" "15 34 10.098" "-33 10 16.85" 0.112 0.008 0.129886 0.003605 0.52250 -2.2357347 Simbad
"HIP 76340" "15 35 34.773" "-75 19 33.15" 0.056 0.004 0.067008 0.001992 0.55731 -2.7520916 Simbad
"HIP 76401" "15 36 13.027" "-72 50 21.57" 0.078 0.005 0.096424 0.002954 0.43922 -3.6848054 Simbad
"HIP 76442" "15 36 44.011" "-41 03 37.64" 0.071 0.005 0.089297 0.002729 0.25040 -3.6594348 Simbad
"HIP 76454" "15 36 52.667" "-67 29 04.98" 0.065 0.004 0.076703 0.002136 0.56631 -2.9256883 Simbad
"HIP 76591" "15 38 32.639" "-39 09 38.53" 0.103 0.007 0.137225 0.004044 0.65241 -4.8893456 Simbad
"HIP 76786" "15 40 40.240" "+65 50 26.38" 0.117 0.008 0.133209 0.003199 4.10769 -2.0261517 Simbad
"HIP 77017" "15 43 31.828" "-70 16 00.18" 0.080 0.006 0.095995 0.002990 0.24432 -2.6658897 Simbad
"HIP 77317" "15 47 06.166" "-35 31 04.94" 0.088 0.006 0.104971 0.002887 0.49528 -2.8285024 Simbad
"HIP 77523" "15 49 43.104" "-32 48 29.82" 0.088 0.006 0.103112 0.002871 0.79454 -2.5186725 Simbad
"HIP 77562" "15 50 07.081" "-53 12 35.18" 0.165 0.011 0.198696 0.005719 0.34211 -3.0632467 Simbad
"HIP 77800" "15 53 11.694" "-65 00 10.52" 0.073 0.005 0.086147 0.002818 0.36752 -2.6293576 Simbad
"HIP 77859" "15 53 55.864" "-23 58 41.15" 0.238 0.016 0.181800 0.007193 2.42587 3.5125248 Simbad
"HIP 77900" "15 54 30.109" "-27 20 19.10" 0.135 0.009 0.156806 0.004540 0.41637 -2.4229140 Simbad
"HIP 77909" "15 54 39.531" "-25 14 37.47" 0.161 0.011 0.188701 0.005433 0.56139 -2.5183030 Simbad
"HIP 77968" "15 55 22.885" "-44 31 33.64" 0.105 0.007 0.120797 0.003542 0.56959 -2.2567096 Simbad
"HIP 78196" "15 57 59.347" "-31 43 44.15" 0.105 0.007 0.123398 0.003626 0.83082 -2.6282241 Simbad
"HIP 78384" "16 00 07.328" "-38 23 48.14" 0.293 0.020 0.366156 0.026926 0.43640 -3.6578016 Simbad
"HIP 78477" "16 01 10.914" "-75 37 10.10" 0.089 0.006 0.106435 0.003274 0.48641 -2.9058197 Simbad
"HIP 78541" "16 02 04.839" "-36 44 38.10" 0.109 0.008 0.128508 0.003814 0.48320 -2.4385357 Simbad
"HIP 78592" "16 02 47.898" "+46 02 12.13" 0.279 0.019 0.324198 0.009417 1.37820 -2.3788655 Simbad
"HIP 78603" "16 02 52.491" "-62 32 29.72" 0.150 0.010 0.172394 0.005177 0.27463 -2.2393837 Simbad
"HIP 78655" "16 03 24.190" "-38 36 09.15" 0.188 0.013 0.235010 0.007055 0.00151 -3.6161450 Simbad
"HIP 78731" "16 04 21.321" "-53 42 37.35" 0.145 0.010 0.167993 0.004677 0.46201 -2.2992597 Simbad
"HIP 78783" "16 05 01.823" "-83 46 37.71" 0.061 0.004 0.070707 0.002071 0.53386 -2.4268374 Simbad
"HIP 78858" "16 05 52.261" "+09 56 09.44" 0.125 0.009 0.143606 0.003935 0.34595 -2.0673044 Simbad
"HIP 78946" "16 06 59.567" "+47 30 18.15" 0.128 0.009 0.147175 0.004041 1.59463 -2.1305647 Simbad
"HIP 79031" "16 07 51.888" "-24 27 44.46" 0.132 0.009 0.153822 0.004338 0.50883 -2.4246160 Simbad
"HIP 79044" "16 08 04.380" "-36 13 54.60" 0.100 0.007 0.126886 0.004302 0.46925 -3.8408816 Simbad
"HIP 79056" "16 08 11.713" "-77 17 20.24" 0.073 0.005 0.091436 0.002621 0.31952 -3.6871927 Simbad
"HIP 79251" "16 10 26.904" "-62 55 22.47" 0.089 0.006 0.103938 0.003242 0.75391 -2.4896736 Simbad
"HIP 79280" "16 10 49.524" "+75 52 39.22" 0.178 0.012 0.215545 0.005969 0.98693 -3.1287534 Simbad
"HIP 79380" "16 12 02.817" "-75 03 42.27" 0.061 0.004 0.077390 0.002338 0.37555 -4.0975685 Simbad
"HIP 79411" "16 12 22.185" "-61 55 44.50" 0.112 0.008 0.128553 0.003815 0.49408 -2.0691845 Simbad
"HIP 79507" "16 13 27.995" "-64 59 08.36" 0.077 0.005 0.096043 0.002859 0.77410 -3.8086326 Simbad
"HIP 79653" "16 15 15.316" "-47 22 19.28" 0.197 0.014 0.238359 0.006956 0.03484 -2.9542308 Simbad
"HIP 79878" "16 18 16.157" "-28 02 30.15" 0.106 0.007 0.123641 0.003431 0.64166 -2.5200727 Simbad
"HIP 79887" "16 18 23.523" "-73 02 36.25" 0.135 0.009 0.156335 0.004520 0.64126 -2.3706010 Simbad
"HIP 79992" "16 19 44.437" "+46 18 48.12" 0.321 0.022 0.386612 0.031826 0.29534 -2.9823740 Simbad
"HIP 80066" "16 20 32.617" "-39 25 49.24" 0.136 0.009 0.168351 0.004687 0.63102 -3.5945542 Simbad
"HIP 80071" "16 20 34.072" "-68 32 11.93" 0.078 0.005 0.103381 0.003199 0.86588 -5.0762744 Simbad
"HIP 80244" "16 22 54.807" "-66 53 14.43" 0.101 0.007 0.126356 0.003731 0.37030 -3.6222180 Simbad
"HIP 80375" "16 24 25.339" "+55 12 18.35" 0.207 0.014 0.243113 0.006825 0.66394 -2.5795145 Simbad
"HIP 80606" "16 27 29.558" "-69 19 33.73" 0.117 0.008 0.143337 0.004054 0.65020 -3.2921730 Simbad
"HIP 80638" "16 27 53.027" "-69 51 40.95" 0.092 0.006 0.112236 0.003375 0.31490 -3.3726828 Simbad
"HIP 80650" "16 27 59.013" "+68 46 05.30" 0.288 0.020 0.329109 0.008873 2.36165 -2.0554721 Simbad
"HIP 80865" "16 30 44.575" "-80 19 14.60" 0.058 0.004 0.068939 0.001917 1.28510 -2.7348006 Simbad
"HIP 80975" "16 32 08.200" "-21 27 59.02" 0.489 0.034 0.595575 0.039591 0.85356 -3.1345615 Simbad
"HIP 81007" "16 32 35.685" "+05 31 16.39" 0.200 0.014 0.228265 0.007120 0.11072 -2.0189104 Simbad
"HIP 81031" "16 32 59.427" "-61 51 30.61" 0.052 0.004 0.066179 0.001970 0.46856 -3.5448165 Simbad
"HIP 81208" "16 35 13.839" "-35 43 28.72" 0.112 0.008 0.135669 0.004238 0.20606 -2.9586086 Simbad
"HIP 81230" "16 35 26.134" "+17 06 02.76" 0.118 0.008 0.137620 0.003623 0.29818 -2.4525187 Simbad
"HIP 81259" "16 35 49.341" "-71 53 39.31" 0.142 0.010 0.164342 0.004981 0.34642 -2.2342280 Simbad
"HIP 81290" "16 36 11.421" "+52 54 00.17" 0.203 0.014 0.236467 0.006678 1.01669 -2.3905027 Simbad
"HIP 81337" "16 36 42.940" "+15 29 50.84" 0.136 0.009 0.158157 0.004474 1.14295 -2.4619170 Simbad
"HIP 81493" "16 38 42.226" "-68 43 15.14" 0.083 0.006 0.105042 0.003066 0.47039 -3.6737049 Simbad
"HIP 81530" "16 39 09.296" "-75 29 19.22" 0.067 0.005 0.077496 0.002188 0.08676 -2.0992875 Simbad
"HIP 81659" "16 40 51.340" "+12 23 42.16" 0.197 0.014 0.225466 0.006027 0.91997 -2.0332804 Simbad
"HIP 81817" "16 42 40.293" "-70 34 49.76" 0.087 0.006 0.102383 0.003045 0.34589 -2.5637560 Simbad
"HIP 81891" "16 43 38.724" "-32 06 21.40" 0.112 0.008 0.138535 0.004345 0.28477 -3.3169088 Simbad
"HIP 81904" "16 43 47.597" "-38 09 22.85" 0.146 0.010 0.182048 0.005365 0.42208 -3.6047504 Simbad
"HIP 81914" "16 43 54.078" "-41 06 48.05" 0.137 0.009 0.155591 0.004561 0.55042 -2.0656521 Simbad
"HIP 81992" "16 45 00.190" "-28 30 34.77" 0.217 0.015 0.249216 0.007009 0.14946 -2.1477084 Simbad
"HIP 82154" "16 47 01.678" "-39 32 01.95" 0.096 0.007 0.120204 0.003400 0.41204 -3.4577835 Simbad
"HIP 82203" "16 47 37.764" "+37 33 36.80" 0.090 0.006 0.107657 0.002937 1.22959 -2.9427521 Simbad
"HIP 82397" "16 50 10.707" "-26 44 33.17" 0.103 0.007 0.120417 0.003288 0.58810 -2.4882064 Simbad
